t_idx,v,w
0,0.2,0
1,0.2,0
2,0.2,0
3,0.2,0
4,0.2,0
5,0.2,0
6,0.2,0
7,0.2,0
8,0.2,0
9,0.2,0
10,0.2,0
11,0.2,0
12,0.2,0
13,0.2,0
14,0.2,0
15,0.2,0
16,0.2,0
17,0.2,0
18,0.2,0
19,0.2,0
20,0.2,0
21,0.2,0
22,0.2,0
23,0.2,0
24,0.2,0
25,0.2,0
26,0.2,0
27,0.2,0
28,0.2,0
29,0.2,0
30,0.2,0
31,0.2,0
32,0.2,0
33,0.2,0
34,0.2,0
35,0.2,0
36,0.2,0
37,0.2,0
38,0.2,0
39,0.2,0
40,0.2,0
41,0.2,0
42,0.2,0
43,0.2,0
44,0.2,0
45,0.2,0
46,0.2,0
47,0.2,0
48,0.2,0
49,0.2,0
50,0.2,0
51,0.2,0
52,0.2,0
53,0.2,0
54,0.2,0
55,0.2,0
56,0.2,0
57,0.2,0
58,0.2,0
59,0.2,0
60,0.2,0
61,0.2,0
62,0.2,0
63,0.2,0
64,0.2,0
65,0.2,0
66,0.2,0
67,0.2,0
68,0.2,0
69,0.2,0
70,0.2,0
71,0.2,0
72,0.2,0
73,0.2,0
74,0.2,0
75,0.2,0
76,0.2,0
77,0.2,0
78,0.2,0
79,0.2,0
80,0.2,0
81,0.2,0
82,0.2,0
83,0.2,0
84,0.2,0
85,0.2,0
86,0.2,0
87,0.2,0
88,0.2,0
89,0.2,0
90,0.2,0
91,0.2,0
92,0.2,0
93,0.199528,-1.7703e-06
94,0.2,0
95,0.2,0
96,0.2,0
97,0.2,0
98,0.2,0
99,0.2,0
100,0.2,0
101,0.2,0
102,0.2,0
103,0.2,0
104,0.2,0
105,0.2,0
106,0.2,0
107,0.2,0
108,0.2,0
109,0.2,0
110,0.2,0
111,0.2,0
112,0.2,0
113,0.2,0
114,0.2,0
115,0.2,0
116,0.2,0
117,0.2,0
118,0.2,0
119,0.2,0
120,0.2,0
121,0.2,0
122,0.2,0
123,0.199528,-1.7703e-06
124,0.2,0
125,0.2,0
126,0.2,0
127,0.2,0
128,0.2,0
129,0.2,0
130,0.2,0
131,0.2,0
132,0.2,0
133,0.2,0
134,0.2,0
135,0.2,0
136,0.2,0
137,0.2,0
138,0.2,0
139,0.2,0
140,0.2,0
141,0.2,0
142,0.2,0
143,0.2,0
144,0.2,0
145,0.2,0
146,0.2,0
147,0.2,0
148,0.2,0
149,0.199528,-1.7703e-06
150,0.2,0
151,0.2,0
152,0.2,0
153,0.2,0
154,0.2,0
155,0.2,0
156,0.2,0
157,0.2,0
158,0.200001,0
159,0.2,0
160,0.2,0
161,0.2,0
162,0.2,0
163,0.2,0
164,0.199999,0
165,0.254061,-0.0287678
166,0.284815,-0.0370644
167,0.355087,-0.020131
168,0.365721,-0.0232729
169,0.38034,-0.0424647
170,0.421886,-0.0167498
171,0.391852,-0.000819081
172,0.380341,-0.000829703
173,0.385534,0.00121531
174,0.392143,-0.0435269
175,0.390907,0.0108183
176,0.38459,-0.00192697
177,0.442457,-0.056256
178,0.4521,-0.0743894
179,0.466263,-0.0104625
180,0.475397,0.000177915
181,0.46561,-0.0702026
182,0.461292,-0.0211188
183,0.483911,-0.0881774
184,0.481189,-0.0766527
185,0.490839,-0.0829355
186,0.496906,-0.0840136
187,0.499474,-0.0723022
