t_idx,best_index
0,217
1,217
2,217
3,217
4,217
5,217
6,217
7,217
8,217
9,217
10,217
11,217
12,217
13,216
14,216
15,216
16,216
17,216
18,216
19,216
20,217
21,218
22,218
23,219
24,218
25,217
26,217
27,216
28,217
29,217
30,217
31,216
32,216
33,217
34,217
35,217
36,217
37,217
38,217
39,217
40,217
41,217
42,217
43,217
44,217
45,217
46,217
47,217
48,217
49,216
50,216
51,216
52,216
53,216
54,216
55,215
56,215
57,216
58,216
59,216
60,216
61,215
62,216
63,215
64,216
65,215
66,216
67,216
68,215
69,215
70,215
71,215
72,215
73,215
74,215
75,215
76,215
77,215
78,215
79,215
80,215
81,215
82,215
83,215
84,215
85,215
86,215
87,215
88,215
89,215
90,215
91,215
92,215
93,215
94,215
95,215
96,215
97,215
98,215
99,215
100,215
101,215
102,215
103,215
104,215
105,215
106,215
107,215
108,215
109,215
110,215
111,215
112,215
113,215
114,215
115,215
116,215
117,215
118,215
119,215
120,215
121,215
122,215
123,215
124,215
125,215
126,215
127,215
128,215
129,215
130,215
131,215
132,215
133,215
134,215
135,215
136,215
137,215
138,215
139,215
140,215
141,215
142,215
143,215
144,215
145,215
146,215
147,215
148,215
149,215
150,215
151,215
152,215
153,215
154,215
155,215
156,215
157,215
158,215
159,215
160,215
161,215
162,215
163,215
164,215
165,215
166,215
167,215
168,215
169,215
170,215
171,215
172,215
173,215
174,215
175,215
176,215
177,215
178,215
179,215
180,215
181,215
182,215
183,215
184,215
185,215
186,215
187,215
188,215
189,215
190,215
191,215
192,215
193,215
194,215
195,215
196,215
197,215
198,215
199,215
200,215
201,215
202,215
203,215
204,215
205,215
206,215
207,215
208,215
209,215
210,215
211,215
212,215
213,215
214,215
215,215
216,215
217,215
218,215
219,215
220,215
221,215
222,215
223,215
